,spy_branch,injector_branch,misprediction_rate
0,99,2,0.2625
1,99,4,0.2705
2,99,8,0.252
3,99,16,0.2585
4,99,32,0.2485
5,99,64,0.264
6,99,128,0.26
7,99,256,0.252
8,99,512,0.2575
9,99,1024,0.269
10,99,2048,0.258
11,99,4096,0.259
12,99,8192,0.266
13,99,16384,0.267
14,99,32768,0.2655
15,99,65536,0.2665
16,99,131072,0.2925
17,99,262144,0.298
18,99,524288,0.496
19,99,1048576,0.453
20,99,2097152,0.4615
21,99,4194304,0.484
22,99,8388608,0.487
23,99,16777216,0.4705
24,99,33554432,0.458
25,99,67108864,0.4695
